MSR_Id,MedianCarSpeed,Latitude,Longitude,Direction,Canton,Name,Direction:1,Street
CH:0025.03,122.5,47.0145302,9.50471783,positive,SG,BAD RAGAZ (AB),positive,A 13
CH:0186.01,53.7000008,46.3895645,6.81614208,negative,VS,ST-GINGOLPH E,negative,H 21
CH:0186.02,52.7999992,46.3895836,6.81619549,positive,VS,ST-GINGOLPH E,positive,H 21
CH:0084.01,66.0999985,47.4311333,9.37897015,positive,SG,"ST. GALLEN, ROSENB'TUNNEL (AB)",positive,A 1
CH:0599.01,114.300003,47.4731522,9.58756065,positive,SG,"BURIET, RUDERBACH (AB)",positive,A1
CH:0599.04,115.099998,47.473259,9.58767796,negative,SG,"BURIET, RUDERBACH (AB)",negative,A1
CH:0084.03,68.4000015,47.4314003,9.37884235,negative,SG,"ST. GALLEN, ROSENB'TUNNEL (AB)",negative,A 1
CH:0599.03,123.199997,47.4732513,9.58764362,negative,SG,"BURIET, RUDERBACH (AB)",negative,A1
CH:0084.02,74.4000015,47.4311676,9.37895203,positive,SG,"ST. GALLEN, ROSENB'TUNNEL (AB)",positive,A 1
CH:0084.04,65.6999969,47.4314346,9.37882137,negative,SG,"ST. GALLEN, ROSENB'TUNNEL (AB)",negative,A 1
CH:0268.01,98.1999969,46.2201004,7.00703096,positive,VS,ST. MAURICE (AR),positive,A 9
CH:0543.02,112.199997,47.4301186,8.36465073,positive,AG,SPREITENBACH AUSFAHRT (AB) - AG1445,positive,A 1
CH:0268.02,104.699997,46.220108,7.00706291,positive,VS,ST. MAURICE (AR),positive,A 9
CH:0268.04,97.0999985,46.2195053,7.00756168,negative,VS,ST. MAURICE (AR),negative,A 9
CH:0543.04,83.4000015,47.4300041,8.36458874,,AG,SPREITENBACH AUSFAHRT (AB) - AG1445,,A 1
CH:0575.04,66.0,47.2704506,8.43822289,,ZH,ANSCHLUSS AFFOLTERN  A.A1(AB) - ZH2105,,A 4
CH:0575.03,63.2999992,47.2724228,8.43729305,,ZH,ANSCHLUSS AFFOLTERN  A.A1(AB) - ZH2105,,A 4
CH:0575.02,110.900002,47.272541,8.43767452,negative,ZH,ANSCHLUSS AFFOLTERN  A.A1(AB) - ZH2105,negative,A 4
CH:0587.01,55.0,47.6557617,9.15958977,,TG,"KREUZLINGEN, HAUPTZOLLAMT",,A 7
CH:0348.04,,47.5451889,7.80114317,positive,AG,RHEINFELDEN (AB) - AG1427,positive,A 3
CH:0348.03,,47.5451584,7.80114937,positive,AG,RHEINFELDEN (AB) - AG1427,positive,A 3
CH:0587.04,35.0,47.6559639,9.1594305,negative,TG,"KREUZLINGEN, HAUPTZOLLAMT",negative,A 7
CH:0348.05,,47.5452576,7.80112123,negative,AG,RHEINFELDEN (AB) - AG1427,negative,A 3
CH:0587.02,35.2000008,47.6557961,9.15947533,positive,TG,"KREUZLINGEN, HAUPTZOLLAMT",positive,A 7
CH:0348.08,,47.5452309,7.80021238,,AG,RHEINFELDEN (AB) - AG1427,,A 3
CH:0587.03,33.2999992,47.6558037,9.15943432,positive,TG,"KREUZLINGEN, HAUPTZOLLAMT",positive,A 7
CH:0105.03,41.0,47.2109261,8.54366684,positive,ZG,BAAR N (AB),positive,A 14
CH:0105.02,110.0,47.2109718,8.54367638,negative,ZG,BAAR N (AB),negative,A 14
CH:0361.02,57.7999992,47.0750465,7.58648014,positive,BE,KIRCHBERG S,positive,H 23
CH:0361.01,58.5,47.0750732,7.58650017,negative,BE,KIRCHBERG S,negative,H 23
CH:0040.01,89.0,46.9527664,8.27782345,negative,OW,ALPNACHSTAD (AB),negative,A 8
CH:0174.02,41.5,47.0512161,6.71954155,positive,NE,COL DES ROCHES,positive,H 20
CH:0587.06,28.0,47.6565666,9.15966511,,TG,"KREUZLINGEN, HAUPTZOLLAMT",,A 7
CH:0601.01,55.0999985,47.4275017,9.36142254,positive,SG,"ST. GALLEN, SCHORENTUNNEL (AB)",positive,A 1
CH:0601.02,61.0999985,47.4275131,9.36149502,positive,SG,"ST. GALLEN, SCHORENTUNNEL (AB)",positive,A 1
CH:0601.03,62.0,47.4275932,9.36221409,negative,SG,"ST. GALLEN, SCHORENTUNNEL (AB)",negative,A 1
CH:0601.04,64.3000031,47.4276085,9.36228561,negative,SG,"ST. GALLEN, SCHORENTUNNEL (AB)",negative,A 1
CH:0200.04,54.9000015,46.1514206,6.09665489,negative,GE,"GENEVE, BARDONNEX (AR)",negative,A 1A
CH:0200.05,51.2999992,46.151432,6.09661865,negative,GE,"GENEVE, BARDONNEX (AR)",negative,A 1A
CH:0162.01,114.800003,46.9612427,7.25292158,positive,BE,"MUEHLEBERG, SAANEVIAD. (AB)",positive,A 1
CH:0200.06,51.0,46.1514435,6.09657764,negative,GE,"GENEVE, BARDONNEX (AR)",negative,A 1A
CH:0162.02,121.300003,46.9612694,7.25293493,positive,BE,"MUEHLEBERG, SAANEVIAD. (AB)",positive,A 1
CH:0162.03,122.099998,46.9613037,7.25312328,negative,BE,"MUEHLEBERG, SAANEVIAD. (AB)",negative,A 1
CH:0162.04,114.800003,46.9613342,7.25313759,negative,BE,"MUEHLEBERG, SAANEVIAD. (AB)",negative,A 1
CH:0827.03,123.900002,47.1903839,9.4853363,positive,SG,BUCHS (AB),positive,A 13
CH:0200.01,71.5,46.151371,6.09684467,positive,GE,"GENEVE, BARDONNEX (AR)",positive,A 1A
CH:0827.02,122.599998,47.1903992,9.48523808,negative,SG,BUCHS (AB),negative,A 13
CH:0117.06,109.400002,47.1735077,8.43221283,positive,ZG,HUENENBERG S (AB),positive,A 4
CH:0117.01,107.300003,47.1735229,8.43195343,negative,ZG,HUENENBERG S (AB),negative,A 4
CH:0064.05,115.400002,46.5458183,6.63150501,negative,VD,CONT. DE LAUSANNE (AR),negative,A 9
CH:0149.06,90.6999969,46.5704918,6.55722952,negative,VD,MEX (AR),negative,A 1
CH:0580.05,79.5,47.3468895,8.52007008,negative,ZH,DREIECK ZUERICH-SUED N (AB) - ZH1210,negative,A 3
CH:0064.04,123.400002,46.5458031,6.63147402,negative,VD,CONT. DE LAUSANNE (AR),negative,A 9
CH:0613.04,45.5,46.9725075,8.4400692,,NW,ANSCHLUSS BUOCHS RI LUZERN (AB),,A 2
CH:0613.03,83.3000031,46.972187,8.44114304,positive,NW,ANSCHLUSS BUOCHS RI LUZERN (AB),positive,A 2
CH:0149.05,102.699997,46.5704918,6.557271,negative,VD,MEX (AR),negative,A 1
CH:0580.04,81.5,47.3469315,8.51997471,positive,ZH,DREIECK ZUERICH-SUED N (AB) - ZH1210,positive,A 3
CH:0613.02,81.9000015,46.9722252,8.44118786,positive,NW,ANSCHLUSS BUOCHS RI LUZERN (AB),positive,A 2
CH:0580.02,83.8000031,47.3469963,8.51984882,positive,ZH,DREIECK ZUERICH-SUED N (AB) - ZH1210,positive,A 3
CH:0579.01,97.0,47.3410263,8.52185059,positive,ZH,DREIECK ZUERICH-SUED S (AB) - ZH1209,positive,A 3
CH:0579.04,91.0,47.3410645,8.52214336,negative,ZH,DREIECK ZUERICH-SUED S (AB) - ZH1209,negative,A 3
CH:0149.01,94.5,46.5705109,6.5575099,positive,VD,MEX (AR),positive,A 1
CH:0064.03,121.0,46.5456352,6.63155174,positive,VD,CONT. DE LAUSANNE (AR),positive,A 9
CH:0064.02,112.400002,46.54562,6.63151979,positive,VD,CONT. DE LAUSANNE (AR),positive,A 9
CH:0579.03,96.5999985,47.341053,8.52209282,negative,ZH,DREIECK ZUERICH-SUED S (AB) - ZH1209,negative,A 3
CH:0150.01,70.0999985,46.6675606,8.59175396,negative,UR,GOTTHARDTUNNEL (AB),negative,A 2
CH:0613.01,43.0,46.9723969,8.44115734,,NW,ANSCHLUSS BUOCHS RI LUZERN (AB),,A 2
CH:0150.02,70.5,46.667572,8.59187412,positive,UR,GOTTHARDTUNNEL (AB),positive,A 2
CH:0580.08,80.5,47.3467979,8.52025032,negative,ZH,DREIECK ZUERICH-SUED N (AB) - ZH1210,negative,A 3
CH:0580.07,82.8000031,47.346817,8.52021027,negative,ZH,DREIECK ZUERICH-SUED N (AB) - ZH1210,negative,A 3
CH:0344.04,,47.5324669,7.73584414,negative,AG,RHEINFELDEN (AB) - AG1423,negative,A 3
CH:0344.03,,47.5323448,7.73581696,positive,AG,RHEINFELDEN (AB) - AG1423,positive,A 3
CH:0344.01,,47.5325012,7.73656273,,AG,RHEINFELDEN (AB) - AG1423,,A 3
CH:0191.02,123.0,47.0453682,8.55925465,negative,SZ,GOLDAU S (AB),negative,A 4
CH:0344.06,,47.532753,7.7363205,,AG,RHEINFELDEN (AB) - AG1423,,A 3
CH:0344.05,,47.5324936,7.7358222,negative,AG,RHEINFELDEN (AB) - AG1423,negative,A 3
CH:0191.04,108.800003,47.045433,8.55916309,positive,SZ,GOLDAU S (AB),positive,A 4
CH:0288.01,,47.2717819,7.71597958,positive,BE,NIEDERBIPP (AB),positive,A 1
CH:0288.03,,47.2718086,7.71584129,negative,BE,NIEDERBIPP (AB),negative,A 1
